a	一(個)
glue	膠水
helpful	有幫助的
Internet	網路
learn	學習
go	去
hen	母雞
into	到…之內
least	最少
goat	山羊
here	這裡
invite	邀請
leave	離開
good	好的
hey	嘿
island	島嶼
left	左邊
goodbye	再見
hi	嗨
it	它
leg	腿
goose	鵝
hide	隱藏
jacket	夾克
lemon	檸檬
grade	成績
high	高的
January	一月
lend	借出
gram	公克
hike	徒步旅行
jeans	牛仔褲
less	較少的
grandfather	祖父
hill	小山
job	工作
lesson	課
grandmother	祖母
hippo	河馬
jog	慢跑
let	讓
grape	葡萄
history	歷史
join	加入
letter	信
grass	草
hit	打擊
joy	歡樂
lettuce	萵苣
gray	灰色的
hobby	嗜好
juice	果汁
library	圖書館
great	很棒的
hold	拿著
July	七月
lid	蓋子
green	綠色(的)
holiday	假日
jump	跳躍
lie	說謊
ground	地面
home	家
June	六月
life	生活
group	團體
homework	家庭作業
light	燈
grow	種植
honest	誠實的
just	只是
like	喜歡
guava	番石榴
honey	蜂蜜
kangaroo	袋鼠
line	隊伍
guess	猜想
hop	(單腳)跳
keep	保持
lion	獅子
guitar	吉他
hope	希望
key	鑰匙
lip	嘴唇
guy	傢伙
horse	馬
kick	踢
list	表
gym	體育館
hospital	醫院
kid	小孩
listen	聽
habit	習慣
hot	熱的
kill	殺
little	小的
hair	頭髮
kilo	公斤
live	住
half	一半
hotel	旅社
kind	種類
Halloween	萬聖節
hour	小時
king	國王
lonely	寂寞的
ham	火腿
house	房屋
kiss	吻
long	長的
hamburger	漢堡
housewife	家庭主婦
kitchen	廚房
look	看
hand	手
how	如何
kite	風箏
lose	遺失
handsome	英俊的
however	然而
knee	膝蓋
loud	大聲的
hang	懸掛
hundred	百
knife	刀子
love	喜愛
happen	發生
hungry	飢餓的
knock	敲
lovely	可愛的
happy	快樂的
hunt	打獵
know	知道
low	低的
lucky	幸運的
mother	母親
nurse	護士
photo	相片
lunch	午餐
motorcycle	機車
piano	鋼琴
machine	機器
mountain	山
October	十月
pick	撿拾
mad	瘋狂的
mouse	老鼠
picnic	野餐
magic	神奇的
mouth	嘴巴
off	自…離開
picture	圖片
mail	信件
move	移動
office	辦公室
pie	派
mailman	郵差
movie	電影
officer	警官
piece	片
make	製作
often	時常
pig	豬
man	男人
oil	油
pin	大頭針
many	許多的
MRT	捷運
OK	可以
pink	粉紅色(的)
map	地圖
old	老的
pipe	管
March	三月
much	許多的
on	在…上面
pizza	披薩
mark	做記號
mud	泥
once	一次
place	地方
marker	簽字筆
museum	博物館
one	一
plan	計畫
market	市場
music	音樂
only	只
planet	行星
married	已婚的
must	必須
open	打開
plant	植物
mask	面具
nail	釘子
or	或
plate	盤子
mat	墊子
name	名字
orange	柳橙
play	玩
math	數學
national	國家的
order	點餐
player	選手
matter	事情
near	在…附近
other	其他的
playground	操場
may	可能
neck	脖子
out	在外
pleasure	樂事
May	五月
need	需要
please	請
maybe	也許
neighbor	鄰居
over	結束
meal	一餐
never	從不
own	自己的
pocket	口袋
mean	意指
new	新的
ox	公牛
point	指著
meat	肉
news	消息
pack	包
police	警察(方)
medicine	藥
next	下一個
package	包裹
polite	有禮貌的
medium	中號
nice	好的
page	頁
pond	池塘
meet	遇見
night	晚上
paint	繪畫
pool	游泳池
meeting	會議
nine	九
pair	一雙
poor	貧困的
menu	菜單
nineteen	十九
pants	長褲
popcorn	爆米花
mile	哩
nineteenth	第十九
papaya	木瓜
popular	受歡迎的
milk	牛奶
ninety	九十
paper	紙
pork	豬肉
million	百萬
ninth	第九
parent	父(母)親
possible	可能的
mind	介意
no	沒有
park	公園
minute	分鐘
nobody	無一人
part	部分
postcard	明信片
Miss	小姐
nod	點頭
party	派對
pot	罐
miss	想念
noise	噪音
pass	通過
pound	磅
mistake	錯誤
noodle	麵條
past	經過
practice	練習
modern	現代化的
noon	中午
paste	黏貼
pray	祈禱
moment	片刻
north	北方
pay	付錢
prepare	準備
Monday	星期一
nose	鼻子
PE	體育
present	禮物
money	錢
not	不
peach	桃子
pretty	漂亮的
monkey	猴子
note	筆記
pear	梨子
price	價格
month	月份
notebook	筆記本
pen	筆
princess	公主
moon	月亮
nothing	沒什麼
pencil	鉛筆
prize	獎
mop	拖地
